Requested device argument: cuda
torch.cuda.is_available(): True
Loading scaler bundle from: models/scaler_bundle.json
Stage-2 dataset: raw=121334, kept=121334
Cutflow: {'raw': 121334, 'finite': 121334, 'pid': 121334, 'quality': 121334}
Mechanical hole center bank: foil 0: 67 holes, foil 1: 80 holes, foil 2: 77 holes
Stage-2 trainer device: cuda
CUDA ready: index=0, name=NVIDIA GeForce RTX 4060 Ti, capability=8.9, total_memory=16.0 GB
Loaded stage-1 checkpoint from models/best_pretrain.pth (epoch 32, val_loss=0.010131)
Model parameter device after load: cuda:0
[Epoch 1] Applied loss schedule 'stage2_warmup'
[Epoch    1/80] phase=head_only         train=0.07935  val=0.03837  select=0.17022(ytar_center_rmse)  delta_dead=0.0340  xptar_dead=0.0716  yptar_dead=0.1795  ytar_dead=0.1702  (11.9s)
[Epoch    2/80] phase=head_only         train=0.04226  val=0.03488  select=0.16330(ytar_center_rmse)  delta_dead=0.0309  xptar_dead=0.0720  yptar_dead=0.1254  ytar_dead=0.1633  (1.6s)
[Epoch    3/80] phase=head_only         train=0.02873  val=0.03129  select=0.16280(ytar_center_rmse)  delta_dead=0.0281  xptar_dead=0.0739  yptar_dead=0.0980  ytar_dead=0.1628  (1.7s)
[Epoch    4/80] phase=head_only         train=0.02146  val=0.02622  select=0.15849(ytar_center_rmse)  delta_dead=0.0231  xptar_dead=0.0722  yptar_dead=0.0741  ytar_dead=0.1585  (1.7s)
[Epoch    5/80] phase=head_only         train=0.01746  val=0.02636  select=0.15797(ytar_center_rmse)  delta_dead=0.0250  xptar_dead=0.0770  yptar_dead=0.0626  ytar_dead=0.1580  (1.6s)
[Epoch    6/80] phase=head_only         train=0.01560  val=0.02491  select=0.15378(ytar_center_rmse)  delta_dead=0.0206  xptar_dead=0.0750  yptar_dead=0.0592  ytar_dead=0.1538  (1.7s)
[Epoch    7/80] phase=head_only         train=0.01433  val=0.02273  select=0.14920(ytar_center_rmse)  delta_dead=0.0173  xptar_dead=0.0697  yptar_dead=0.0606  ytar_dead=0.1492  (1.7s)
[Epoch    8/80] phase=head_only         train=0.01340  val=0.02217  select=0.14284(ytar_center_rmse)  delta_dead=0.0207  xptar_dead=0.0699  yptar_dead=0.0601  ytar_dead=0.1428  (1.6s)
[Epoch    9/80] phase=head_only         train=0.01269  val=0.02287  select=0.14016(ytar_center_rmse)  delta_dead=0.0202  xptar_dead=0.0720  yptar_dead=0.0606  ytar_dead=0.1402  (1.7s)
[Epoch   10/80] phase=head_only         train=0.01204  val=0.02172  select=0.13544(ytar_center_rmse)  delta_dead=0.0179  xptar_dead=0.0705  yptar_dead=0.0594  ytar_dead=0.1354  (1.7s)
[Epoch   11/80] phase=head_only         train=0.01160  val=0.02068  select=0.13530(ytar_center_rmse)  delta_dead=0.0184  xptar_dead=0.0681  yptar_dead=0.0584  ytar_dead=0.1353  (1.7s)
[Epoch   12/80] phase=head_only         train=0.01112  val=0.02217  select=0.13205(ytar_center_rmse)  delta_dead=0.0215  xptar_dead=0.0708  yptar_dead=0.0567  ytar_dead=0.1320  (1.6s)
[Epoch   13/80] phase=head_only         train=0.01072  val=0.02173  select=0.13122(ytar_center_rmse)  delta_dead=0.0207  xptar_dead=0.0706  yptar_dead=0.0549  ytar_dead=0.1312  (1.6s)
[Epoch   14/80] phase=head_only         train=0.01038  val=0.02027  select=0.12766(ytar_center_rmse)  delta_dead=0.0206  xptar_dead=0.0687  yptar_dead=0.0542  ytar_dead=0.1277  (1.6s)
[Epoch   15/80] phase=head_only         train=0.01012  val=0.02022  select=0.12508(ytar_center_rmse)  delta_dead=0.0201  xptar_dead=0.0696  yptar_dead=0.0525  ytar_dead=0.1251  (1.6s)
[Epoch   16/80] phase=head_only         train=0.00985  val=0.01966  select=0.11873(ytar_center_rmse)  delta_dead=0.0197  xptar_dead=0.0699  yptar_dead=0.0512  ytar_dead=0.1187  (1.7s)
[Epoch   17/80] phase=head_only         train=0.00966  val=0.01944  select=0.12351(ytar_center_rmse)  delta_dead=0.0200  xptar_dead=0.0688  yptar_dead=0.0503  ytar_dead=0.1235  (1.6s)
[Epoch   18/80] phase=head_only         train=0.00941  val=0.01902  select=0.11932(ytar_center_rmse)  delta_dead=0.0194  xptar_dead=0.0691  yptar_dead=0.0491  ytar_dead=0.1193  (1.6s)
[Epoch   19/80] phase=head_only         train=0.00935  val=0.01844  select=0.11908(ytar_center_rmse)  delta_dead=0.0217  xptar_dead=0.0677  yptar_dead=0.0496  ytar_dead=0.1191  (1.6s)
[Epoch   20/80] phase=head_only         train=0.00913  val=0.01758  select=0.11742(ytar_center_rmse)  delta_dead=0.0192  xptar_dead=0.0676  yptar_dead=0.0469  ytar_dead=0.1174  (1.7s)
[Epoch 21] Applied loss schedule 'stage2_geometry_bridge'
[Epoch 21] Switched to correction-branch fine-tuning (lr=5e-05)
[Epoch   21/80] phase=correction_branch train=0.02160  val=0.02872  select=0.11209(ytar_center_rmse)  delta_dead=0.0204  xptar_dead=0.0651  yptar_dead=0.0408  ytar_dead=0.1121  (1.9s)
[Epoch   22/80] phase=correction_branch train=0.02102  val=0.02693  select=0.11022(ytar_center_rmse)  delta_dead=0.0204  xptar_dead=0.0619  yptar_dead=0.0356  ytar_dead=0.1102  (1.7s)
[Epoch   23/80] phase=correction_branch train=0.02080  val=0.02751  select=0.10680(ytar_center_rmse)  delta_dead=0.0211  xptar_dead=0.0609  yptar_dead=0.0339  ytar_dead=0.1068  (1.7s)
[Epoch   24/80] phase=correction_branch train=0.02045  val=0.02693  select=0.10632(ytar_center_rmse)  delta_dead=0.0228  xptar_dead=0.0586  yptar_dead=0.0308  ytar_dead=0.1063  (1.7s)
[Epoch   25/80] phase=correction_branch train=0.02027  val=0.02693  select=0.10259(ytar_center_rmse)  delta_dead=0.0252  xptar_dead=0.0582  yptar_dead=0.0300  ytar_dead=0.1026  (1.7s)
[Epoch   26/80] phase=correction_branch train=0.02006  val=0.02801  select=0.10359(ytar_center_rmse)  delta_dead=0.0220  xptar_dead=0.0602  yptar_dead=0.0346  ytar_dead=0.1036  (1.7s)
[Epoch   27/80] phase=correction_branch train=0.01989  val=0.02456  select=0.09871(ytar_center_rmse)  delta_dead=0.0223  xptar_dead=0.0548  yptar_dead=0.0301  ytar_dead=0.0987  (1.6s)
[Epoch   28/80] phase=correction_branch train=0.01977  val=0.02730  select=0.10042(ytar_center_rmse)  delta_dead=0.0224  xptar_dead=0.0589  yptar_dead=0.0315  ytar_dead=0.1004  (1.7s)
[Epoch   29/80] phase=correction_branch train=0.01967  val=0.02830  select=0.09995(ytar_center_rmse)  delta_dead=0.0236  xptar_dead=0.0599  yptar_dead=0.0326  ytar_dead=0.1000  (1.7s)
[Epoch   30/80] phase=correction_branch train=0.01950  val=0.02534  select=0.09831(ytar_center_rmse)  delta_dead=0.0200  xptar_dead=0.0559  yptar_dead=0.0293  ytar_dead=0.0983  (1.7s)
[Epoch   31/80] phase=correction_branch train=0.01937  val=0.02449  select=0.09735(ytar_center_rmse)  delta_dead=0.0209  xptar_dead=0.0529  yptar_dead=0.0272  ytar_dead=0.0974  (1.7s)
[Epoch   32/80] phase=correction_branch train=0.01935  val=0.02594  select=0.10346(ytar_center_rmse)  delta_dead=0.0227  xptar_dead=0.0555  yptar_dead=0.0306  ytar_dead=0.1035  (1.7s)
[Epoch   33/80] phase=correction_branch train=0.01921  val=0.02462  select=0.09808(ytar_center_rmse)  delta_dead=0.0199  xptar_dead=0.0526  yptar_dead=0.0272  ytar_dead=0.0981  (1.7s)
[Epoch   34/80] phase=correction_branch train=0.01920  val=0.02640  select=0.09867(ytar_center_rmse)  delta_dead=0.0219  xptar_dead=0.0555  yptar_dead=0.0309  ytar_dead=0.0987  (1.7s)
[Epoch   35/80] phase=correction_branch train=0.01914  val=0.02405  select=0.09949(ytar_center_rmse)  delta_dead=0.0191  xptar_dead=0.0513  yptar_dead=0.0268  ytar_dead=0.0995  (1.7s)
[Epoch   36/80] phase=correction_branch train=0.01905  val=0.02635  select=0.09934(ytar_center_rmse)  delta_dead=0.0224  xptar_dead=0.0556  yptar_dead=0.0276  ytar_dead=0.0993  (1.7s)
[Epoch   37/80] phase=correction_branch train=0.01899  val=0.02346  select=0.09839(ytar_center_rmse)  delta_dead=0.0186  xptar_dead=0.0503  yptar_dead=0.0261  ytar_dead=0.0984  (1.6s)
[Epoch   38/80] phase=correction_branch train=0.01896  val=0.02424  select=0.09884(ytar_center_rmse)  delta_dead=0.0198  xptar_dead=0.0516  yptar_dead=0.0284  ytar_dead=0.0988  (1.7s)
[Epoch   39/80] phase=correction_branch train=0.01890  val=0.02407  select=0.09927(ytar_center_rmse)  delta_dead=0.0194  xptar_dead=0.0502  yptar_dead=0.0254  ytar_dead=0.0993  (1.7s)
[Epoch   40/80] phase=correction_branch train=0.01888  val=0.02481  select=0.09804(ytar_center_rmse)  delta_dead=0.0195  xptar_dead=0.0508  yptar_dead=0.0287  ytar_dead=0.0980  (1.7s)
[Epoch   41/80] phase=correction_branch train=0.01883  val=0.02393  select=0.09828(ytar_center_rmse)  delta_dead=0.0178  xptar_dead=0.0505  yptar_dead=0.0264  ytar_dead=0.0983  (1.7s)
[Epoch   42/80] phase=correction_branch train=0.01876  val=0.02400  select=0.09769(ytar_center_rmse)  delta_dead=0.0180  xptar_dead=0.0506  yptar_dead=0.0257  ytar_dead=0.0977  (1.7s)
[Epoch   43/80] phase=correction_branch train=0.01875  val=0.02462  select=0.09860(ytar_center_rmse)  delta_dead=0.0222  xptar_dead=0.0505  yptar_dead=0.0260  ytar_dead=0.0986  (1.7s)
[Epoch   44/80] phase=correction_branch train=0.01867  val=0.02523  select=0.09703(ytar_center_rmse)  delta_dead=0.0196  xptar_dead=0.0528  yptar_dead=0.0264  ytar_dead=0.0970  (1.7s)
[Epoch   45/80] phase=correction_branch train=0.01862  val=0.02428  select=0.09757(ytar_center_rmse)  delta_dead=0.0183  xptar_dead=0.0508  yptar_dead=0.0258  ytar_dead=0.0976  (1.7s)
[Epoch   46/80] phase=correction_branch train=0.01861  val=0.02421  select=0.09854(ytar_center_rmse)  delta_dead=0.0179  xptar_dead=0.0499  yptar_dead=0.0257  ytar_dead=0.0985  (1.6s)
[Epoch   47/80] phase=correction_branch train=0.01856  val=0.02436  select=0.09817(ytar_center_rmse)  delta_dead=0.0186  xptar_dead=0.0496  yptar_dead=0.0275  ytar_dead=0.0982  (1.7s)
[Epoch   48/80] phase=correction_branch train=0.01851  val=0.02431  select=0.09739(ytar_center_rmse)  delta_dead=0.0187  xptar_dead=0.0495  yptar_dead=0.0275  ytar_dead=0.0974  (1.7s)
[Epoch   49/80] phase=correction_branch train=0.01849  val=0.02415  select=0.09733(ytar_center_rmse)  delta_dead=0.0197  xptar_dead=0.0493  yptar_dead=0.0273  ytar_dead=0.0973  (1.7s)
[Epoch   50/80] phase=correction_branch train=0.01847  val=0.02333  select=0.09690(ytar_center_rmse)  delta_dead=0.0173  xptar_dead=0.0483  yptar_dead=0.0260  ytar_dead=0.0969  (1.6s)
[Epoch 51] Applied loss schedule 'stage2_ytar_refine'
[Epoch   51/80] phase=correction_branch train=0.03151  val=0.04081  select=0.09658(ytar_center_rmse)  delta_dead=0.0198  xptar_dead=0.0504  yptar_dead=0.0278  ytar_dead=0.0966  (1.7s)
[Epoch   52/80] phase=correction_branch train=0.03138  val=0.04113  select=0.09875(ytar_center_rmse)  delta_dead=0.0188  xptar_dead=0.0500  yptar_dead=0.0277  ytar_dead=0.0987  (1.7s)
[Epoch   53/80] phase=correction_branch train=0.03138  val=0.04277  select=0.09856(ytar_center_rmse)  delta_dead=0.0197  xptar_dead=0.0522  yptar_dead=0.0292  ytar_dead=0.0986  (1.6s)
[Epoch   54/80] phase=correction_branch train=0.03130  val=0.03918  select=0.09691(ytar_center_rmse)  delta_dead=0.0174  xptar_dead=0.0473  yptar_dead=0.0263  ytar_dead=0.0969  (1.7s)
[Epoch   55/80] phase=correction_branch train=0.03123  val=0.03981  select=0.09711(ytar_center_rmse)  delta_dead=0.0174  xptar_dead=0.0483  yptar_dead=0.0253  ytar_dead=0.0971  (1.7s)
[Epoch   56/80] phase=correction_branch train=0.03117  val=0.03995  select=0.09605(ytar_center_rmse)  delta_dead=0.0188  xptar_dead=0.0490  yptar_dead=0.0262  ytar_dead=0.0960  (1.6s)
[Epoch   57/80] phase=correction_branch train=0.03112  val=0.03999  select=0.09845(ytar_center_rmse)  delta_dead=0.0177  xptar_dead=0.0484  yptar_dead=0.0263  ytar_dead=0.0984  (1.7s)
[Epoch   58/80] phase=correction_branch train=0.03112  val=0.03836  select=0.09769(ytar_center_rmse)  delta_dead=0.0171  xptar_dead=0.0450  yptar_dead=0.0250  ytar_dead=0.0977  (1.7s)
[Epoch   59/80] phase=correction_branch train=0.03107  val=0.04218  select=0.09722(ytar_center_rmse)  delta_dead=0.0175  xptar_dead=0.0508  yptar_dead=0.0290  ytar_dead=0.0972  (1.6s)
[Epoch   60/80] phase=correction_branch train=0.03098  val=0.03947  select=0.09575(ytar_center_rmse)  delta_dead=0.0175  xptar_dead=0.0482  yptar_dead=0.0259  ytar_dead=0.0957  (1.6s)
